Accession,LIB,sample,population,Lat,Lon
IS23574,IQSD,IS_23574,Gates,8.199999,34.259998
IS23669,IQSE,IS_23669,Gates,13.220002,-16.129999
IS24775,IQSP,IS_24775,Gates,10.880001,13.630001
IS24887,ISGL,IS_24887,Gates,9.289999,5.059999
IS25055,IQST,IS_25055,Gates,9.399999,-0.980001
IS27287,IQTA,IS_27287,Gates,13.166667,-0.816667
IS27599,IQTB,IS_27599,Gates,12.234359,14.637234
IS30001,IQTE,IS_30001,Gates,-20.909999,28.459999
IS30748,IQTG,IS_30748,Gates,11.029999,14.130001
IS33178,IQTL,IS_33178,Gates,10.510001,14.38
PI153852,IXPH,PI_153852,Gates,-3.349999905,38.56000137
PI213900,ISMI,PI_213900,BAP-TERRA,-0.023559,37.906193
PI217674,INWA,PI_217674,Gates,14.033333,35.383333
PI221581,INWD,PI_221581,Gates,13.029999,8.310001
PI221651,SRR8474806.1,PI_221651,TERRA-Cornell,8.930003,8.600003
PI229841,ISMW,PI_229841,BAP-TERRA,-23.833333,31.5
PI229847,INWG,PI_229847,Gates,-23.833333,31.5
PI229856,INWH,PI_229856,Gates,-23.833333,31.5
PI267573,IDWD,PI_267573,BAP-TERRA,7.677629,36.838441
PI273465,ISKJ,PI_273465,BAP-TERRA,9.081999,8.675277
PI273969,IECN,PI_273969,BAP-TERRA,9.145,40.489674
PI276816,IZPX,PI_276816,GatesRef,9.579999,41.860001
PI276837,INLJ,PI_276837,GatesRef,9.579999,41.860001
PI282842,IZLC,PI_282842,Gates,8.88,17.549999
PI285039,SRR8474699.1,PI_285039,TERRA-Cornell,11.06000042,7.699999809
PI285042,SRR8474700,PI_285042,TERRA-Cornell,11.06000042,7.699999809
PI297130,ISKX,PI_297130,BAP-TERRA,1.373333,32.290276
PI297155,ISLD,PI_297155,BAP-TERRA,1.373333,32.290276
PI300118,IFDN,PI_300118,BAP-TERRA,-30.559483,22.937506
PI300119,IFDP,PI_300119,BAP-TERRA,-30.559483,22.937506
PI303658,INLL,PI_303658,BAP-TERRA,12.862848,30.217677
PI308223,INWZ,PI_308223,Gates,-29.015021,29.871031
PI308262,INXA,PI_308262,Gates,-29.015021,29.871031
PI308282,IXQI,PI_308282,Gates,-29.015021,29.871031
PI308374,INXC,PI_308374,Gates,-29.015021,29.871031
PI308445,INXD,PI_308445,Gates,-29.015021,29.871031
PI329256,INLM,PI_329256,BAP-TERRA,15.31999969,38.91999817
PI329268,INXE,PI_329268,Gates,8.541389,39.268889
PI329286,INLN,PI_329286,BAP-TERRA,9.579999924,41.86000061
PI329299,INLP,PI_329299,BAP-TERRA,14.39999962,39.38000107
PI329300,IFJE,PI_329300,BAP-TERRA,14.39999962,39.38000107
PI329301,IFJF,PI_329301,JGI_Ref,14.39999962,39.38000107
PI329310,INLQ,PI_329310,BAP-TERRA,9.300000191,42.13000107
PI329319,INLR,PI_329319,BAP-TERRA,9.180000305,38.33000183
PI329326,INLS,PI_329326,BAP-TERRA,9.130000114,37.04000092
PI329333,IDUP,PI_329333,BAP-TERRA,9.130000114,37.04999924
PI329338,IDZX,PI_329338,BAP-TERRA,10,39.88999939
PI329351,INLT,PI_329351,BAP-TERRA,10.30000019,39.97999954
PI329394,INLU,PI_329394,BAP-TERRA,11.18000031,40.00999832
PI329403,IFJG,PI_329403,BAP-TERRA,11.13000011,39.63000107
