Accession,LIB,Lat,Lon
PI562776,IPDA,33.576698,-101.855072
PI644578,IQUC,33.576698,-101.855072
PI643503,IQTW,36.11561,-97.05837
PI643580,IZKS,40.808889,-96.680278
PI35038,ISMX,37.09024,-95.712891
PI511355,IDYP,37.09024,-95.712891
PI563483,IXRC,14.21000004,-16.54999924
PI563485,IZKG,15.28999996,-16.20999908
IS23669,IQSE,13.220002,-16.129999
PI514319,IZLA,14.16,-16.03
PI514361,IXPW,12.94,-15.59
PI522125,ISHE,13.443183,-15.31014
PI514412,IXPZ,13.03,-15.07
PI514284,IXPU,15.18,-13.74
PI514403,IXPY,14.73,-13.71
PI514353,IPCG,13.52,-13.51
PI514390,IXPX,13.93000031,-13.43000031
PI514293,IPCF,13.32,-13.29
PI514497,IXQA,12.57999992,-12.82999992
PI514456,INMW,13.380001,-12.279999
PI585728,JHFR,12.02999973,-9.710000038
PI585681,IZKN,15.26000023,-8.479999542
PI562781,INNL,12.65,-8
PI612843,IPFJ,12.65,-8
PI585671,IXQF,15.01000023,-7.659999847
PI563487,IUHX,12.10999966,-6.909999847
PI609200,JHHN,13.71000004,-6.409999847
PI651104,IZLE,11.116667,-4.416667
PI563361,IZKK,11.19999981,-4.300000191
PI655981,ISMB,17.570692,-3.996166
PI563348,IFJD,12.46000004,-3.460000038
PI563366,IZKF,11.14000034,-3.059999943
PI563338,IFEJ,13.06000042,-3.059999943
PI563343,IZKD,13.57999992,-2.420000076
PI586128,IXNL,12.82999992,-2.230000019
PI586161,JHHF,13.31000042,-1.529999971
PI586165,JHHG,12.57999992,-1.299999952
PI563350,IFEK,11.65999985,-1.059999943
PI585461,ISMM,7.946527,-1.023194
IS25055,IQST,9.399999,-0.980001
PI585448,ISMA,9.399999,-0.839999
IS27287,IQTA,13.166667,-0.816667
PI585452,ISMG,10.77999973,-0.810000002
PI585454,IEAT,10.520457,-0.439999
PI586112,IXNK,14.35000038,-0.409999996
PI585467,ISMT,9.909999,-0.209999
PI513883,IXPT,14.56000042,0.709999979
PI506122,ISLR,7.25,0.8
PI506069,ISLE,8.619543,0.824782
PI506114,ISLK,8.619543,0.824782
PI515633,IPCI,8.619543,0.824782
PI585971,IXNH,7.559999943,1.019999981
PI586021,JHHE,10.93000031,1.080000043
PI513865,IXPS,14.42000008,1.549999952
PI585981,JHFZ,7.300000191,1.909999967
PI656035,ISIA,13.487388,2.144779
PI513898,INMU,9.30769,2.315834
PI513846,IXPR,14.28691,2.548415
PI585989,IZLK,8.4333339,2.5833335
PI513769,IXPP,12.72999954,2.829999924
PI513763,IXPN,13.430583,2.995058
PI513833,IXND,14.006401,3.210611
PI513843,IXPQ,15.18000031,3.50999999
PI533877,ISJM,12.31000042,3.710000038
PI660596,IXMJ,12.31000042,3.710000038
PI513807,IZKJ,13.84295,4.050269
PI513809,IXNC,14.02999973,4.210000038
PI513651,IXMX,14.67000008,4.349999905
PI513665,IXPL,13.85000038,4.849999905
IS24887,ISGL,9.289999,5.059999
PI513684,IX0,14.46347,5.250163
PI513676,IYYN,13.893812,5.344241
PI513688,IXPM,15.85999966,5.349999905
PI513707,IXNB,14.7589,5.7747
PI513709,IPCE,14.7589,5.7747
PI513611,IXMW,13.891436,6.181868
PI513639,IPCD,15.464294,6.2854
PI513564,IXMT,14.33,6.78
PI533839,CZWZN,11.03999996,7.420000076
PI285039,SRR8474699.1,11.06000042,7.699999809
PI285042,SRR8474700,11.06000042,7.699999809
PI597953,IXNF,12.51000023,7.730000019
PI563009,IDWF,11,7.849999905
PI513568,IXMU,14.8263,8.2761
PI221581,INWD,13.029999,8.310001
PI647018,JBQF,11.77000046,8.430000305
PI585386,IPEQ,9.800001,8.489999
PI585386,JHGQ,9.800001,8.489999
PI221651,SRR8474806.1,8.930003,8.600003
PI221651,IDWT,8.930003,8.600003
PI273465,ISKJ,9.081999,8.675277
PI576385,ISIY,9.081999,8.675277
PI646211,JBQA,10.68999958,8.949999809
PI513514,IXMS,14.38000011,9.029999733
PI660562,IXMZ,12.43000031,9.100000381
PI660562,SRR8474772.1,12.43000031,9.100000381
PI513471,IPCC,13.71221,9.159453
PI513474,IXMQ,13.94999981,10.25
PI660559,SRR8474597.1,7,10.258881
PI660559,IXPI,7,10.258881
PI585416,IZKB,10.260002,10.340001
PI513419,IXMP,13.94999981,11.31000042
PI513488,IXMR,13.32436,12.01652
PI562979,IPDB,9.529999733,12.35000038
PI568717,IFGE,7.369722,12.354722
PI513397,IXMM,13.35999966,12.65999985
PI513402,IXMN,13.5251,13.1019
PI585406,ISLT,10.279999,13.189999
IS24775,IQSP,10.880001,13.630001
IS30748,IQTG,11.029999,14.130001
PI510757,ISLY,8.4,14.16666667
IS33178,IQTL,10.510001,14.38
IS27599,IQTB,12.234359,14.637234
PI505717,ISKK,-28.53333333,16.25
PI505722,ISKR,-28.46666667,16.33333333
PI282842,IZLC,8.88,17.549999
PI533863,IFLW,15.454166,18.732206
PI533956,ISGF,-4.038333,21.758663
PI570296,IXPB,13.149999,22.219999
PI570218,IXNX,14.300001,22.566702
PI505705,SRR8474630,-13.06666667,22.75
PI300118,IFDN,-30.559483,22.937506
PI300119,IFDP,-30.559483,22.937506
PI365512,INML,-30.559483,22.937506
PI533752,IFGX,-30.559483,22.937506
PI563302,IXQD,14.23999977,23.29000092
PI570268,IPEA,12.899999,23.469999
PI570511,IUIA,13.5,23.5
PI569050,JHGP,11.18999958,24.14999962
PI569040,IPDN,11.189999,24.149999
PI569065,IPDQ,11.189999,24.149999
PI569077,IPDR,11.189999,24.149999
PI569077,JHGB,11.189999,24.149999
PI569097,IFFK,11.189999,24.149999
PI569148,IFFL,11.189999,24.149999
PI569150,IPDS,11.189999,24.149999
PI569156,IPDT,11.189999,24.149999
PI569244,IFKA,11.189999,24.149999
PI569284,ISGY,11.189999,24.149999
PI571271,IPEJ,11.189999,24.149999
PI570278,IZKI,12.300001,24.17
PI510931,IXRB,-22.328474,24.684866
PI510965,IPBZ,-22.328474,24.684866
PI510903,IPBU,-22.328474,24.684866
PI510952,IPBW,-22.328474,24.684866
PI510961,IPBY,-22.328474,24.684866
PI510997,IPCA,-22.328474,24.684866
PI511002,IQTM,-22.328474,24.684866
PI570288,IXPA,10.479999,25.09
PI570504,IUHZ,8.420000076,25.59000015
PI570119,IXNR,11.369999,26.02
PI570260,IXNZ,18.090001,26.379999
PI510957,IPBX,-23.100002,26.829999
PI175919,IFFJ,40.222604,27.242626
PI570130,IZKH,12.119999,27.440001
PI505735,ISKY,-13.133897,27.849333
PI52606,IFMB,-26.204103,28.047305
PI563289,IZKC,-25.746111,28.188056
PI668846,IQUU,-25.746111,28.188056
PI668958,IQUW,-25.746111,28.188056
PI668996,IQUX,-25.746111,28.188056
IS30001,IQTE,-20.909999,28.459999
PI570498,IUHY,7.269999981,28.68000031
PI570603,IXMG,12.34000015,28.70000076
PI526905,IDWU,-20.16666667,28.75
PI586035,IXNI,-10.17000008,28.75
PI585586,IXQE,-2.559999,28.950001
PI170799,INUY,41.018611,28.964722
PI526796,IPCT,-19.015438,29.154858
PI586499,IFFN,-23.60000038,29.15999985
PI585587,IZKM,-2.059999,29.360001
PI585577,IEAX,-3.099999,29.389999
PI570145,ISKT,12.02,29.389999
PI571273,IXPG,6.48,29.42
PI571292,IPEK,11.016667,29.716667
PI586503,JHHL,-26,29.76000023
PI620072,IDWE,-0.02,29.77000046
PI585572,IXNG,-4.130001,29.790001
PI308223,INWZ,-29.015021,29.871031
PI308262,INXA,-29.015021,29.871031
PI308282,IXQI,-29.015021,29.871031
PI308374,INXC,-29.015021,29.871031
PI308445,INXD,-29.015021,29.871031
PI586472,JHHK,-28.39,29.95
PI585608,IS0,-1.929999948,30.05999947
PI620157,IFKM,0.449999988,30.20000076
PI533911,CZWZY,13.03999996,30.20000076
PI570524,IXPE,13.03999996,30.20000076
PI303658,INLL,12.862848,30.217677
PI533964,IFHL,12.862823,30.217652
PI641909,IFLB,12.862853,30.217682
PI656015,ISGR,12.862846,30.217675
PI568998,IPDL,10.5,30.44000053
PI576399,IECZ,10.5,30.44000053
PI570518,IXPD,6.550000191,30.5
PI570206,IPDX,10.529999,30.52
PI570216,IPDY,10.529999,30.52
PI570131,IPDW,12.039999,30.520001
PI482785,IPBT,-19.83333333,30.55
PI586789,IPEY,10.833901,30.748876
PI646266,IFKL,3.019999981,30.92000008
PI619860,IXQQ,3.160000086,30.92000008
PI570228,IXNY,11.5,31.030686
PI620119,JHHP,0.4561088,31.0348037
PI570125,IXNS,14.25,31.1
PI586464,JHHI,-25.20000076,31.20000076
PI570127,IXNT,9.180003,31.379999
PI570162,IXNW,12.430003,31.489999
PI229841,ISMW,-23.833333,31.5
PI229847,INWG,-23.833333,31.5
PI229847,JHGS,-23.833333,31.5
PI229856,INWH,-23.833333,31.5
PI527045,IN0,-18.58333333,31.58333333
PI570149,IXNU,3.869999,31.629999
PI619838,IEBA,2.619999886,31.93000031
PI571377,IPEM,8.409999,32.060001
PI570604,IXMH,14.27000046,32.16999817
PI297130,ISKX,1.373333,32.290276
PI297155,ISLD,1.373333,32.290276
PI646239,JBQB,1.470000029,32.29999924
PI646251,IFKK,2.779999971,32.29999924
PI570393,IEAZ,4.019999981,32.47000122
PI570273,IPEB,12.539999,32.5
PI482745,IPBS,-19.55,32.56666667
PI570494,IXPC,8.369999886,33.02999878
PI620578,JBPT,-2.829999924,33.08000183
PI620520,JHHQ,-4.889999866,33.11000061
PI646242,IFKJ,2.150000095,33.25
PI570554,IXMF,16.39999962,33.25
PI619807,IDXU,3.349999905,33.33000183
PI646296,JBQD,1.220000029,33.40000153
PI570253,IPDZ,14.319999,33.419998
PI646245,JBQC,2.730000019,33.47999954
PI569875,IZKZ,10.710003,33.479999
